IDP_R Governorate-7,IDP_R District-7,IDP_R Agency-7,IDP_R Activities-7,Cluster,Status
Dahuk,Sumel,UNICEF,Latrine Cleaning at school,WASH,
Ninewa,Shikhan,UNICEF,Decommissioning of Mobile Latrines,WASH,
Ninewa,Shikhan,UNICEF,Latrine Cleaning,WASH,
Ninewa,Shikhan,UNICEF,Supply & Install Water Tanks,WASH,
Ninewa,Shikhan,UNICEF,Water Quality Monitoring,WASH,
Ninewa,Shikhan,UNICEF,Distributing Family Water Kits,WASH,
Ninewa,Shikhan,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Shikhan,UNICEF,Distributing Buckets,WASH,
Ninewa,Shikhan,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Shikhan,UNICEF,Distributing Soap / Toilet Bars,WASH,
Ninewa,Shikhan,UNICEF,Supply Communal Garbage Containers,WASH,
Ninewa,Shikhan,UNICEF,Supply & Install Mobile Showers,WASH,
Ninewa,Shikhan,UNICEF,Supply & Install Mobile Latrines,WASH,
Ninewa,Tilkaif,UNICEF,Water Tankering,WASH,
Ninewa,Tilkaif,UNICEF,Water Tankering,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Hygiene Kits,WASH,
Dahuk,Sumel,UNICEF,Distribuiting Garbage Bag,WASH,
Dahuk,Sumel,UNICEF,Distributing Hygiene Kits,WASH,
Dahuk,Sumel,UNICEF,Distributing Hygiene Kits,WASH,
Dahuk,Sumel,UNICEF,Sleeping Kit,WASH,
Dahuk,Sumel,UNICEF,Distributing Hygiene Kits,WASH,
Dahuk,Sumel,UNICEF,Distributing Buckets,WASH,
Erbil,Erbil,UNICEF,Water Seheme,WASH,
Dahuk,Sumel,UNICEF,Distributing Hygiene Kits,WASH,
